iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
GIN,2021,IPC/CH,8262248,2169692,683633,0,0,11115573,683633,0.0615022725324192,0.0205007575108064,0.00683358583693546
GIN,2022,IPC/CH,6115433,3831210,1198458,20830,0,11165931,1219288,0.109197164123619,0.0370208867193131,0.0127548502473979
GMB,2021,IPC/CH,1849489,491072,113369,1383,0,2455313,114752,0.0467362002319053,0.0157664895134212,0.00538066723966444
GMB,2022,IPC/CH,1642345,606782,199751,6962,0,2455840,206713,0.084172014463483,0.0290022965665516,0.0102974044635554
GNB,2021,IPC/CH,807617,372894,94134,1766,0,1276411,95900,0.0751325395973554,0.0255053688297369,0.0088092489192135
GNB,2022,IPC/CH,1009990,245587,73092,0,0,1328669,73092,0.0550114437832146,0.0183371479277382,0.0061123826425794
GTM,2017,IPC/CH,2841060,1251190,445680,0,0,4537930,445680,0.0982121804435062,0.0327373934811687,0.0109124644937229
GTM,2018,IPC/CH,9356128,4669304,2115442,485959,0,16626833,2601401,0.156457997743768,0.0618951306000367,0.0271266866569772
GTM,2019,IPC/CH,8749244,4816717,2492475,568396,0,16626832,3060871,0.18409225521735,0.0727592404053079,0.0318498503570079
GTM,2020,IPC/CH,6461787,6668947,3299977,427621,0,16858332,3727598,0.221113097072712,0.0821595517278934,0.0330233079339575
GTM,2021,IPC/CH,5875795,7775303,3285024,173629,0,17109751,3458653,0.202145139341888,0.0707643651077486,0.0258432230317736
GTM,2022,IPC/CH,5623271,7133633,4048534,552454,0,17357892,4600988,0.265066057560446,0.0989644364649809,0.0400608681182152
HND,2019,IPC/CH,708469,394039,205607,82044,0,1390159,287651,0.206919496259061,0.0886457352480304,0.042663624968239
HND,2020,IPC/CH,1597233,1876022,1298601,349559,0,5121415,1648160,0.321817310255076,0.130023896390613,0.0585089385561521
HND,2021,IPC/CH,2506915,3503396,2678546,615520,0,9304377,3294066,0.354034020762486,0.140062610675958,0.0613883838398494
HND,2022,IPC/CH,3233689,3719809,2291044,353193,0,9597735,2644237,0.275506356447641,0.104101992119321,0.0428783573531788
HTI,2017,IPC/CH,1732546,3472137,1688446,661892,0,7555021,2350338,0.311096157111939,0.132901902809624,0.0637694234514151
HTI,2018,IPC/CH,2302431,2416519,1872616,386365,0,6977931,2258981,0.323732206581005,0.126367256999245,0.0544267666479107
HTI,2019,IPC/CH,1938388,2414258,2054161,571129,0,6977936,2625290,0.376227297011609,0.152691712850333,0.069085646847753
HTI,2020,IPC/CH,2525538,3021634,3083498,905472,0,9536142,3988970,0.418300188902388,0.171083931705995,0.0781283341721305
HTI,2021,IPC/CH,2371987,2808421,3198822,1156915,0,9536145,4355737,0.456760777022581,0.192693238899646,0.0911908440057393
HTI,2022,IPC/CH,2397491,2784875,2891238,1813949,19206,9906759,4724393,0.476885831178491,0.221288448960284,0.115744636790117
HTI,2023,IPC/CH,2378324,2816901,3038489,1653841,19206,9906761,4711536,0.475587934341002,0.215468641398872,0.110213250661173
