iso3,area,year,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
AFG,"Cluster 2: Char Darah, Khan Abad",2017,84642,98007,37866,2227,0,222742,40093,0.179997485880525,0.0633318667636399,0.0233324254568564
AFG,"Cluster 2: Daewaz-I-Bala, Darwaz-I-Payin, Kufab, Shiki",2017,10363,20726,36271,36271,0,103631,72542,0.700002894886665,0.350001447443333,0.194445248579629
AFG,"Cluster 2: Darqd,DashtQala,Khwjabahwdin,Khwajaghr,yangi",2017,30715,61430,81906,30715,0,204766,112621,0.549998534913023,0.23333300775845,0.111111111111111
AFG,"Cluster 3: Chahab, Rustaq",2017,20560,102800,115650,17990,0,257000,133640,0.52,0.196666666666667,0.0811111111111111
AFG,"Cluster 3: Dasht-I-Archi, Imam Sahib, Qala-I-Zal",2017,169202,116561,63921,26320,0,376004,90241,0.240000106381847,0.103333120569639,0.0499997635958956
AFG,"Cluster 3: Wakhan, Zebak",2017,3608,6013,6013,8418,0,24052,14431,0.599991684683186,0.316661123122124,0.183329637636972
AFG,"Cluster 4: Hazar Sumuch, Kalafgan",2017,7754,15508,23261,5169,0,51692,28430,0.549988392788052,0.216661507905801,0.0944418650640116
AFG,"Cluster 4: Kiran wa menjan,Yamgan",2017,1859,6322,13760,15247,0,37188,29007,0.78000968054211,0.396669176436843,0.22333369187193
AFG,"Cluster 5: Baharak, Bangi, Eshkamesh, Taluqan",2017,111596,204592,37199,18599,0,371986,55798,0.150000268827321,0.0666664874484524,0.0333330943757143
AFG,"Cluster 5: Kohistan. Raghistan, Yawan",2017,9347,14020,28040,42061,0,93468,70101,0.75,0.400001426513174,0.233334759846507
AFG,"Cluster 6: Argo, Darayim, Khash, Yaftal-I-sufla:",2017,68170,65735,73039,36519,0,243463,109558,0.449998562409894,0.199998904693253,0.0999992241577205
AFG,"Cluster 6: Chal , Namak Ab",2017,6823,11514,17057,7249,0,42643,24306,0.569988040241071,0.246660256861228,0.119996247918767
