iso3,year,source,1,2,3,4,5,N,3+,fi_0,fi_1,fi_2
ETH,2019,IPC/CH,11492470,10544841,6110425,1856568,0,30004304,7966993,0.265528338867651,0.109135020540164,0.0501287230140197
ETH,2020,IPC/CH,28605700,15772171,7191497,1976704,0,53546072,9168201,0.171220794683128,0.0693789141682201,0.0313298486830805
ETH,2021,IPC/CH,23752636,17353114,12072237,4331216,401313,57910516,16804766,0.290185050328338,0.126278780408956,0.06333318728425
ETH,2022,HNO,,,,,,20389226,20389226,1,,
GHA,2021,IPC/CH,28922731,1868653,163819,0,0,30955203,163819,0.00529213134218503,0.00176404378072834,0.000588014593576114
GHA,2022,IPC/CH,5428309,794700,266381,16812,0,6506202,283193,0.0435266227516453,0.0153702062534589,0.00569762341975993
GIN,2021,IPC/CH,8262248,2169692,683633,0,0,11115573,683633,0.0615022725324192,0.0205007575108064,0.00683358583693546
GIN,2022,IPC/CH,8335012,3831210,1198458,20830,0,13385510,1219288,0.0910901415037604,0.0308821006197498,0.0106398469522475
GMB,2021,IPC/CH,1849489,491072,113369,1383,0,2455313,114752,0.0467362002319053,0.0157664895134212,0.00538066723966444
GMB,2022,IPC/CH,1642345,606782,199751,6962,0,2455840,206713,0.084172014463483,0.0290022965665516,0.0102974044635554
GNB,2021,IPC/CH,807617,372894,94134,1766,0,1276411,95900,0.0751325395973554,0.0255053688297369,0.0088092489192135
GNB,2022,IPC/CH,1066356,245587,73092,0,0,1385035,73092,0.0527726736147462,0.0175908912049154,0.00586363040163847
GTM,2017,IPC/CH,2841060,1251190,445680,0,0,4537930,445680,0.0982121804435062,0.0327373934811687,0.0109124644937229
GTM,2018,IPC/CH,9356128,4669304,2115442,485959,0,16626833,2601401,0.156457997743768,0.0618951306000367,0.0271266866569772
GTM,2019,IPC/CH,8749244,4816717,2492475,568396,0,16626832,3060871,0.18409225521735,0.0727592404053079,0.0318498503570079
GTM,2020,IPC/CH,7125367,7213369,3299977,446024,0,18084737,3746001,0.207136050692913,0.0772663526523315,0.0312361191650174
GTM,2021,IPC/CH,6609359,7988167,3285024,173629,0,18056179,3458653,0.191549552095158,0.0670551984817312,0.0244886313494738
GTM,2022,IPC/CH,6740347,7622724,4048534,552454,0,18964059,4600988,0.242616203630246,0.0905826120874228,0.0366679001695904
HND,2019,IPC/CH,2362047,1795448,787093,176826,0,5121414,963919,0.188213450425996,0.0742467477406305,0.0324215365348537
HND,2020,IPC/CH,2055458,1876022,1298601,349559,0,5579640,1648160,0.295388232932591,0.119345752294652,0.0537039227540765
HND,2021,IPC/CH,2929157,3590261,2678546,615520,0,9813484,3294066,0.335667332824917,0.132796398642249,0.0582036580144897
HND,2022,IPC/CH,3550820,3819323,2291044,353193,0,10014380,2644237,0.264044004721211,0.0997708628325801,0.0410944173389777
HTI,2017,IPC/CH,2979156,3472137,1688446,661892,0,8801631,2350338,0.267034371243239,0.114078477803337,0.054737506415951
HTI,2018,IPC/CH,2302431,2416519,1872616,386365,0,6977931,2258981,0.323732206581005,0.126367256999245,0.0544267666479107
HTI,2019,IPC/CH,3537033,3239895,2627491,1045675,0,10450094,3673166,0.351495976973987,0.150519890060319,0.0724096729549886
HTI,2020,IPC/CH,3546798,3021634,3083498,1203301,0,10855231,4286799,0.394906289879967,0.16858538831033,0.0808284350036709
HTI,2021,IPC/CH,2817962,2808421,3198822,1337765,0,10162970,4536587,0.446383980273483,0.192671761633984,0.0934753215732103
HTI,2022,IPC/CH,2784800,2652490,3220667,1343354,0,10001311,4564021,0.456342273527941,0.196886688155183,0.0954772940378627
IDN,2018,HNO,,,,,,191000,80000,0.418848167539267,,
IRQ,2019,HNO,,,,,,6650000,2485541,0.373765563909774,,
IRQ,2020,HNO,,,,,,5500000,2500000,0.454545454545455,,
IRQ,2021,HNO,,,,,,4100000,736254,0.179574146341463,,
IRQ,2022,HNO,,,,,,2454198,730204,0.297532635916092,,
KEN,2019,IPC/CH,4768702,6556370,2739334,357284,0,14421690,3096618,0.21471949542668,0.079831189456067,0.0321157460279158
KEN,2020,IPC/CH,10698271,6332383,1499130,399531,0,18929315,1898661,0.100302678675906,0.0404697158877646,0.0181802317375633
KEN,2021,IPC/CH,8755332,5557859,1998688,367549,0,16679428,2366237,0.141865596350187,0.0546338879246938,0.0231081998468746
KEN,2022,IPC/CH,7181662,5242797,3002098,1100155,0,16526712,4102253,0.248219549054888,0.104929280548968,0.0497693807589932
LAC,2018,IPC/CH,205530,141900,85240,8000,0,440670,93240,0.211586901763224,0.0765803586962277,0.029561047193289
LAC,2019,IPC/CH,224437,169516,75859,5200,0,475012,81059,0.170646215253509,0.0605311023721506,0.0226097212047041
LAC,2020,IPC/CH,199630,183381,119565,19483,0,522059,139048,0.266345374756493,0.101221637145738,0.0420337760887392
LAC,2021,IPC/CH,244509,201628,142776,17363,0,606276,160139,0.26413547625174,0.0975914160107498,0.0388946435103631
LAC,2022,IPC/CH,220916,189829,134431,21869,0,567045,156300,0.275639499510621,0.104735367857342,0.043482145743871
LBN,2020,HNO,,,,,,6e+06,1e+06,0.166666666666667,,
LBN,2021,HNO,,,,,,3687692,1466000,0.397538623073727,,
LBN,2022,HNO,,,,,,1863924,1466000,0.786512754811891,,
LBR,2021,IPC/CH,2482143,1532118,776050,163331,0,4953642,939381,0.189634414436893,0.0742021055753861,0.0320611245894098
LBY,2018,HNO,,,,,,1147000,636000,0.554489973844813,,
LBY,2019,HNO,,,,,,822890,1554937,1.88960492896985,,
LBY,2020,HNO,,,,,,1e+06,316631,0.316631,,
LBY,2021,HNO,,,,,,1252879,698744,0.557710680760073,,
LBY,2022,HNO,,,,,,803587,511339,0.636320647297679,,
LKA,2022,HNO,,,,,,5711089,4875094,0.853618985801132,,
LSO,2017,IPC/CH,951545,316163,144270,80149,0,1492127,224419,0.150402077034998,0.068038891238257,0.0346162074527019
LSO,2018,IPC/CH,943180,493990,216065,41415,0,1694650,257480,0.151936978137078,0.0587918842632205,0.0250281113438698
LSO,2019,IPC/CH,702789,553831,362504,71224,0,1690348,433728,0.2565909505025,0.0995755509121988,0.042555339689421
LSO,2020,IPC/CH,533517,557436,481725,100444,0,1673122,582169,0.347953705707055,0.135995860831826,0.0586728151191472
LSO,2021,IPC/CH,719106,577313,311868,16557,0,1624844,328425,0.202127096508957,0.0707723326054686,0.0258552000479225
LSO,2022,IPC/CH,609763,527840,311868,25643,0,1475114,337511,0.228803333166115,0.0820623581183104,0.0312171729702849
MDG,2017,IPC/CH,886290,2137302,1175149,448605,0,4647346,1623754,0.349393826067609,0.148641037988851,0.070997965529382
MDG,2018,IPC/CH,2349722,1336937,940615,400439,0,5027713,1341054,0.266732408950153,0.115459587026281,0.0561857183706919
MDG,2019,IPC/CH,1748884,1349979,744782,171423,0,4015068,916205,0.22819165204674,0.0902955234299062,0.0395862674195196
MDG,2020,IPC/CH,1878600,1654178,858496,204218,0,4595492,1062714,0.231251408989505,0.0918967254576151,0.0405075234599473
MDG,2021,IPC/CH,951649,1820101,1237869,484022,27836,4521477,1749727,0.386981289521101,0.168781204312956,0.0841534500537963
MDG,2022,IPC/CH,1423978,2142498,1723006,333821,0,5623303,2056827,0.365768481620144,0.141710782198055,0.0604288973935781
MDG,2023,IPC/CH,1096493,2089808,1779639,284667,0,5250607,2064306,0.393155686571096,0.149123901293698,0.0617559709445657
MLI,2017,HNO,,,,,,3530000,3530000,1,,
MLI,2018,HNO,,,,,,4100000,4300000,1.04878048780488,,
MLI,2019,HNO,,,,,,4734872,4734872,1,,
MLI,2020,HNO,,,,,,6807194,3080347,0.452513473246098,,
MLI,2021,IPC/CH,16158897,3761599,921087,33848,0,20875431,954935,0.0457444447494282,0.0157886241167109,0.00562319195017126
MLI,2022,IPC/CH,15442554,4417117,1680684,156560,0,21696915,1837244,0.0846776603954986,0.0306311442586807,0.0118138863930143
MMR,2018,HNO,,,,,,863000,778815,0.902450753186559,,
MMR,2019,HNO,,,,,,941351,823587,0.874898948426251,,
MMR,2021,HNO,,,,,,2148113,2148113,1,,
MMR,2022,HNO,,,,,,14369336,13200000,0.918622822933502,,
MOZ,2017,IPC/CH,18135776,1127991,762581,95895,0,20122243,858476,0.0426630371176812,0.0158095529741226,0.00632887805908229
MOZ,2018,IPC/CH,19147422,7837962,1343402,456221,0,28785007,1799623,0.0625194567435749,0.0261229048858665,0.0122296922761831
MOZ,2019,IPC/CH,17139999,9595831,1575329,473850,0,28785009,2049179,0.0711891040228613,0.0292169325591202,0.013397131665151
MOZ,2020,IPC/CH,6695578,8772574,2368994,305929,0,18143075,2674923,0.147434930407332,0.0547656520922354,0.0220023342239394
MOZ,2021,IPC/CH,8288440,8406993,2649368,264689,0,19609490,2914057,0.148604425714284,0.054034143672273,0.0210109379579876
MOZ,2022,IPC/CH,7128617,5947716,1419827,23553,0,14519713,1443380,0.0994083009767479,0.0336768134925716,0.0115860799421831
MRT,2017,HNO,,,,,,615000,493000,0.801626016260163,,
MRT,2021,IPC/CH,2733981,1036163,389393,20142,0,4179679,409535,0.0979824048688906,0.0342671450766115,0.0124932773279692
MRT,2022,IPC/CH,2513113,1434953,795937,83429,0,4827432,879366,0.182160204431673,0.066480825968479,0.0260007805392184
MWI,2017,IPC/CH,11520844,3111071,1042322,0,0,15674237,1042322,0.0664990582954692,0.0221663527651564,0.00738878425505213
MWI,2018,IPC/CH,8610485,5030032,2857245,449160,0,16946922,3306405,0.195103571020153,0.0738691663300274,0.0305128172144377
MWI,2019,IPC/CH,11138502,4314760,1862759,16650,0,17332671,1879409,0.108431585645398,0.0364640664249997,0.0123681585038003
MWI,2020,IPC/CH,10457215,6219071,2617989,0,0,19294275,2617989,0.135687347671783,0.0452291158905945,0.0150763719635315
MWI,2021,IPC/CH,14160114,6266629,2509092,133446,0,23069281,2642538,0.114547913305144,0.0401108296353059,0.0146557377897184
MWI,2022,IPC/CH,12172450,6679660,3822502,0,0,22674612,3822502,0.168580701623472,0.056193567207824,0.0187311890692747
NAM,2019,IPC/CH,1134930,849442,429277,0,0,2413649,429277,0.177853946452032,0.0592846488173439,0.0197615496057813
NAM,2020,IPC/CH,1286750,841605,426310,14300,0,2568965,440610,0.171512651982413,0.0590263653520646,0.0209124426893061
NAM,2021,IPC/CH,995583,896057,556959,101631,0,2550230,658590,0.258247295341989,0.0993663316642028,0.0419780438104276
NAM,2022,IPC/CH,964177,835738,631699,118616,0,2550230,750315,0.294214639463891,0.113575507568598,0.0481944765766225
NER,2017,HNO,,,,,,1500000,1300000,0.866666666666667,,
NER,2018,HNO,,,,,,2449484,1827070,0.745899952806387,,
NER,2019,HNO,,,,,,2300000,1504375,0.654076086956522,,
NER,2020,HNO,,,,,,3700000,2676860,0.723475675675676,,
NER,2021,IPC/CH,15680004,5366338,1648008,83296,0,22777646,1731304,0.076008908032024,0.0265552755832041,0.00966440713164321
NER,2022,IPC/CH,14226080,7313342,3976601,425805,0,25941828,4402406,0.169702998570494,0.0620389460089962,0.0243271685488865
NGA,2017,HNO,,,,,,8500000,5100000,0.6,,
NGA,2018,HNO,,,,,,7700000,3700000,0.480519480519481,,
NGA,2019,HNO,,,,,,7124606,2735605,0.383965794038295,,
NGA,2020,HNO,,,,,,10600000,3800000,0.358490566037736,,
NGA,2021,IPC/CH,61505746,28759909,11735360,1225617,0,103226632,12960977,0.125558460533712,0.0458105100887789,0.0179086299701763
NGA,2022,IPC/CH,98827486,45410625,18276846,1176459,13550,163704966,19466855,0.118914260670626,0.0420887537400668,0.0156817560032561
NPL,2021,HNO,,,,,,2e+07,2e+05,0.01,,
PAK,2017,IPC/CH,1472462,1233480,1307208,1387416,0,5400566,2694624,0.498952146867569,0.251951369541637,0.141073114682177
PAK,2019,IPC/CH,1497679,1426285,2055794,1017949,0,5997707,3073743,0.51248635520208,0.227403128117685,0.113517271406111
PAK,2020,IPC/CH,2539730,1465508,864696,371411,0,5241345,1236107,0.235837747753678,0.1022331736097,0.0498247852199939
PAK,2021,IPC/CH,7504847,6421454,3567559,1091369,0,18585229,4658928,0.250679074226096,0.103133820232544,0.0474273592934116
PAK,2022,IPC/CH,7447919,6451422,3655630,1030258,0,18585229,4685888,0.252129688582261,0.10252130872318,0.0464924890382333
PHL,2022,HNO,,,,,,2600000,2400000,0.923076923076923,,
PRK,2019,HNO,,,,,,10900000,10900000,1,,
PRK,2020,HNO,,,,,,10432560,10432560,1,,
PSE,2018,HNO,,,,,,2500000,1608000,0.6432,,
PSE,2019,HNO,,,,,,2500000,1700000,0.68,,
PSE,2020,HNO,,,,,,2400000,1683000,0.70125,,
PSE,2021,HNO,,,,,,2400000,2e+06,0.833333333333333,,
PSE,2022,HNO,,,,,,2075542,1758144,0.847077052644562,,
SDN,2019,IPC/CH,24246160,11835391,4809357,1043457,0,41934365,5852814,0.139570826933948,0.0548179756626814,0.0238022363440264
SDN,2020,IPC/CH,22830769,17407718,7410683,2168006,0,49817176,9578689,0.192276836406785,0.0785986945546652,0.0358705086864909
SDN,2021,IPC/CH,25605061,16525671,7072764,2696712,0,51900208,9769476,0.188235777398041,0.0800651126484888,0.0382349398933687
